membership_id,agreement_id,country_id,member_type,mem_start,mem_end,mem_step,notes
369,7,107,1,2009-10-06,NULL,9,NULL
370,7,25,1,2014-11-26,NULL,9,NULL
371,7,109,1,2012-07-18,NULL,9,NULL
372,7,16,1,2010-04-08,NULL,9,NULL
373,7,117,1,2017-03-17,NULL,2,NULL
374,7,17,1,2009-08-12,NULL,9,NULL
375,7,29,1,2009-03-12,NULL,9,NULL
376,7,166,1,2016-12-16,NULL,9,NULL
377,7,122,1,2013-08-21,NULL,9,NULL
378,7,30,1,2015-12-14,NULL,2,NULL
379,7,123,1,2011-03-29,NULL,2,NULL
380,7,28,1,2012-05-17,NULL,9,NULL
381,7,32,1,2011-05-05,NULL,2,NULL
382,7,33,1,2010-09-21,NULL,9,NULL
383,7,140,1,2009-08-04,NULL,9,NULL
384,7,159,1,2009-01-05,NULL,9,NULL
385,7,26,1,2010-09-21,NULL,9,NULL
386,7,35,1,2010-03-01,NULL,9,NULL
387,7,36,1,2017-10-12,NULL,2,NULL
388,7,145,1,2008-08-28,NULL,3,NULL
389,7,146,1,2010-07-14,NULL,9,NULL
390,7,149,1,2011-08-03,NULL,9,NULL
391,7,39,1,2012-05-24,NULL,9,NULL
1114,1,50,2,1963-10-15,NULL,9,NULL
1115,1,51,2,1963-11-11,NULL,9,NULL
1116,1,52,2,1963-07-05,NULL,9,NULL
1117,1,46,2,1964-06-20,NULL,2,NULL
1118,1,54,2,1962-11-20,NULL,9,NULL
1119,1,55,2,1963-08-16,NULL,6,NULL
1120,1,86,2,1967-11-02,NULL,2,NULL
1121,1,56,2,1963-12-27,NULL,9,NULL
1122,1,71,2,1964-09-18,NULL,2,NULL
1123,1,58,2,1963-04-04,NULL,9,NULL
1124,1,40,2,1963-08-13,NULL,9,NULL
1125,1,99,2,1967-10-11,NULL,2,NULL
1126,1,59,2,1966-02-18,NULL,2,NULL
1127,1,60,2,1964-04-06,NULL,2,NULL
1128,1,251,2,1964-06-20,NULL,2,NULL
1129,1,61,2,1963-12-30,NULL,9,NULL
1130,1,70,2,1963-12-23,NULL,9,NULL
1131,1,62,2,1963-10-30,NULL,9,NULL
1132,1,63,2,1963-10-18,NULL,9,NULL
1133,1,64,2,1963-07-01,NULL,9,NULL
1134,1,65,2,1964-12-17,NULL,9,NULL
1135,1,66,2,1963-11-18,NULL,2,NULL
1136,1,68,2,1963-04-25,NULL,1,NULL
1137,1,369,2,1963-12-27,NULL,9,NULL
1138,1,67,2,1963-12-31,NULL,9,NULL
1139,2,51,2,1968-09-26,NULL,9,NULL
1140,2,52,2,1969-10-01,NULL,2,NULL
1141,2,46,2,1969-12-31,NULL,2,NULL
1142,2,54,2,1968-09-21,NULL,9,NULL
1143,2,86,2,1968-09-26,NULL,9,NULL
1144,2,56,2,1968-09-27,NULL,,NULL
1145,2,71,2,1968-12-30,NULL,9,NULL
1146,2,58,2,1968-08-19,NULL,3,NULL
1147,2,40,2,1968-09-11,NULL,9,NULL
1148,2,99,2,1968-09-26,NULL,9,NULL
1149,2,59,2,1973-03-21,NULL,9,NULL
1150,2,60,2,1969-05-28,NULL,2,NULL
1151,2,251,2,1969-12-31,NULL,2,NULL
1152,2,61,2,1968-12-30,NULL,9,NULL
1153,2,70,2,1968-08-07,NULL,9,NULL
1154,2,62,2,1968-12-23,NULL,9,NULL
1155,2,63,2,1969-04-28,NULL,2,NULL
1156,2,64,2,1968-09-30,NULL,9,NULL
1157,2,65,2,1968-09-30,NULL,9,NULL
1158,2,68,2,1968-09-27,NULL,9,NULL
1159,2,369,2,1968-11-01,NULL,9,NULL
1160,3,51,2,1976-09-30,NULL,9,NULL
1161,3,52,2,1977-03-31,NULL,9,NULL
1162,3,54,2,1976-09-17,NULL,9,NULL
1163,3,86,2,1977-03-28,NULL,2,NULL
1164,3,56,2,1976-09-17,NULL,9,NULL
1165,3,71,2,1978-09-14,NULL,9,NULL
1166,3,58,2,1977-09-01,NULL,3,NULL
1167,3,40,2,1976-09-29,NULL,9,NULL
1168,3,91,2,1981-09-15,NULL,6,NULL
1169,3,94,2,1977-05-23,NULL,2,NULL
1170,3,98,2,1977-09-23,NULL,9,NULL
